PROGRAM,POSITION,ERROR,WELD_SPEED,COMMAND_CURRENT,CURRENT_OUTPUT,COMMAND_VOLTAGE,VOLTAGE_OUTPUT,SHORT_COUNT,PULSE_FREQUENCY,MOTOR_CURRENT,WIRE_SPEED,INSTANT_ARC_LACK_TIME,TIMESTAMP
SALDATURA OP2,P112,N,0.8,60,114,10,12.9,95,73,0.16,0,0,1568833086
SALDATURA OP1,P070,N,0.5,150,0,14.4,0,14,52,0.03,0,0,1568821853
SALDATURA OP1,P089,N,0.8,220,226,18,17.5,98,472,1.07,13.3,0,1568828089
SALDATURA OP2,P039,N,0.8,220,220,18,16.6,111,501,1.02,13.3,0,1568834781
SALDATURA OP2,P053,N,0.72,240,102,20,9.9,4,32,0.09,14,0,1568826667
SALDATURA OP2,P041,N,0.8,220,222,18,16.4,107,393,2.28,13.3,0,1568834872
SALDATURA OP1,P062,N,0.8,220,221,18,17.3,86,292,0.4,13.3,0,1568848361
SALDATURA OP2,P038,N,0.8,220,220,18,16.7,105,77,1.38,13.3,0,1568829140
SALDATURA OP1,P109,N,0.8,220,86,18,14.8,25,45,0.45,13.3,0,1568821817
SALDATURA OP1,P109,N,0.8,220,229,18,15.2,105,409,0.01,13.3,0,1568822590
SALDATURA OP1,P109,N,0.8,220,148,18,14.4,21,74,0.56,13.3,0,1568822017
SALDATURA OP1,P002,N,0.8,220,217,18,17.2,44,117,0.8,13.3,0,1568301580
SALDATURA OP1,P068,N,0.5,150,0,14.4,0,26,49,0.02,0,0,1568296494
SALDATURA OP1,P002,N,0.8,220,94,18,11.5,8,58,0.33,13.3,0,1568824992
SALDATURA OP1,P109,N,0.8,220,226,18,18.8,51,93,1.1,13.3,0,1568822417
SALDATURA OP1,P013,N,0.8,220,211,18,17.2,89,74,1.96,13.3,0,1568827869
SALDATURA OP2,P038,N,0.8,220,221,18,16.8,94,358,1.1,13.3,0,1568835217
SALDATURA OP1,P010,N,0.8,220,215,18,18.8,95,84,0.09,13.3,0,1568835921
SALDATURA OP2,P072,N,0.9,150,0,14.4,0,53,67,0.06,0,0,1568297820
SALDATURA OP1,P109,N,0.8,220,225,18,17.1,87,93,0.92,13.3,0,1568822917
SALDATURA OP1,P031,N,0.8,220,222,18,16.7,101,96,0.45,13.3,0,1568826004
SALDATURA OP2,P035,N,0.8,220,214,18,18.1,92,71,1.21,13.3,0,1568293753
SALDATURA OP1,P050,N,0.72,240,235,20.6,19.5,92,279,1.25,14,0,1568298843
SALDATURA OP2,P043,N,0.8,220,222,18,16.8,112,871,0.13,13.3,0,1568320996
SALDATURA OP2,P085,N,0.72,230,222,19.6,18.9,87,204,0.29,14,0,1568303688
SALDATURA OP2,P039,N,0.8,220,228,18,16.5,104,118,1.13,13.3,0,1568317105
SALDATURA OP2,P034,N,0.8,220,229,18,17.5,99,102,1.19,13.3,0,1568825635
SALDATURA OP2,P071,N,0.5,150,0,14.4,0,4,44,0.04,0,0,1568296238
SALDATURA OP1,P109,N,0.8,220,223,18,16.4,108,84,1.37,13.3,0,1568823817
SALDATURA OP2,P068,N,0.5,150,0,14.4,0,26,42,0,0,0,1568827426
SALDATURA OP1,P109,N,0.8,220,218,18,16.2,116,729,1.11,13.3,0,1568824017
SALDATURA OP2,P106,N,0.8,220,218,18,17.3,95,313,1.03,13.3,0,1568824611
SALDATURA OP1,P109,N,0.8,220,225,18,16.2,114,478,0.99,13.3,0,1568824217
SALDATURA OP1,P005,N,0.8,220,216,18,18.3,104,139,0.43,13.3,0,1568297244
SALDATURA OP2,P035,N,0.8,220,222,18,16.9,100,1268,1.31,13.3,0,1568819980
SALDATURA OP2,P009,N,0.8,220,216,18,17.8,83,71,0.88,13.3,0,1568300890
SALDATURA OP1,P032,N,0.8,220,219,18,17.5,99,75,1.54,13.3,0,1568306479
SALDATURA OP2,P075,N,0.8,220,215,18,18.7,88,425,1.36,13.3,0,1568324058
SALDATURA OP1,P094,N,0.8,220,220,18,18,97,130,1.35,13.3,0,1568835162
SALDATURA OP1,P107,N,0.8,220,233,18,16.8,110,131,0.53,13.3,0,1568832694
SALDATURA OP1,P035,N,0.8,220,223,18,17.3,101,79,2.06,13.3,0,1568830854
SALDATURA OP2,P007,N,0.8,220,219,18,17.7,95,81,1.49,13.3,0,1568301765
SALDATURA OP1,P056,N,0.72,230,235,19.6,18.7,81,223,0.06,14,0,1568298333
SALDATURA OP1,P002,N,0.8,220,0,18,13.1,0,68,0.18,2,0,1568295696
SALDATURA OP1,P109,N,0.8,220,231,18,15.5,106,479,0.93,13.3,0,1568825417
SALDATURA OP2,P036,N,0.8,220,222,18,16.9,109,210,1.11,13.3,0,1568309996
SALDATURA OP2,P038,N,0.8,220,218,18,16.6,107,79,2.99,13.3,0,1568305790
SALDATURA OP1,P109,N,0.8,220,225,18,15.9,105,80,2.64,13.3,0,1568825717
SALDATURA OP1,P109,N,0.8,220,234,18,15.6,106,121,1.97,13.3,0,1568825817
SALDATURA OP2,P010,N,0.8,220,209,18,18.4,80,75,1.31,13.3,0,1568826184
SALDATURA OP1,P043,N,0.8,150,0,14.4,0,52,77,0.06,0,0,1568322911
SALDATURA OP1,P109,N,0.8,220,223,18,16,107,763,0.75,13.3,0,1568826117
SALDATURA OP1,P089,N,0.8,220,233,18,16.6,95,253,1.34,13.3,0,1568815566
SALDATURA OP2,P045,N,0.8,220,219,18,17.3,99,88,0.12,13.3,0,1568845189
SALDATURA OP1,P098,N,0.8,220,228,18,15.8,103,469,1.34,13.3,0,1568826417
SALDATURA OP1,P005,N,0.8,220,221,18,16.7,97,84,1.93,13.3,0,1568820052
SALDATURA OP2,P034,N,0.8,220,217,18,18.1,98,87,2.27,13.3,0,1568826917
SALDATURA OP1,P098,N,0.8,220,223,18,15.8,97,78,2.81,13.3,0,1568826717
SALDATURA OP2,P106,N,0.8,220,225,18,16.7,99,241,1.41,13.3,0,1568816810
SALDATURA OP1,P080,N,0.8,220,226,18,17.8,104,70,0.68,13.3,0,1568838290
SALDATURA OP2,P035,N,0.8,220,224,18,17.3,92,88,1.17,13.3,0,1568301411
SALDATURA OP1,P005,N,0.8,220,219,18,17.7,92,82,0.61,13.3,0,1568824955
SALDATURA OP2,P042,N,0.8,220,223,18,16.9,98,164,1.23,13.3,0,1568316351
SALDATURA OP1,P103,N,0.9,190,188,17,16.4,36,80,0.12,10.45,0,1568824241
SALDATURA OP2,P007,N,0.8,220,209,18,17.7,86,87,0.17,13.3,0,1568833315
SALDATURA OP1,P002,N,0.8,220,177,18,17.7,33,541,0.92,13.3,0,1568297765
SALDATURA OP1,P097,N,0.8,150,0,14.4,0,52,73,0.06,0,0,1568305670
SALDATURA OP1,P031,N,0.8,220,223,18,16.4,106,447,3.27,13.3,0,1568827717
SALDATURA OP1,P031,N,0.8,220,225,18,16.7,109,488,1.26,13.3,0,1568827817
SALDATURA OP2,P076,N,0.5,150,0,14.4,0,13,43,0.06,0,0,1568302336
SALDATURA OP2,P107,N,0.8,220,216,18,18.2,99,225,0.73,13.3,0,1568302684
SALDATURA OP1,P031,N,0.8,220,224,18,16.8,106,80,0.4,13.3,0,1568828117
SALDATURA OP1,P031,N,0.8,220,227,18,16.3,106,79,0.95,13.3,0,1568828217
SALDATURA OP1,P031,N,0.8,220,217,18,17.8,94,81,1.72,13.3,0,1568289578
SALDATURA OP2,P116,N,0.8,220,224,18,18,101,84,1.73,13.3,0,1568829711
SALDATURA OP2,P073,N,0.9,150,0,14.4,0,28,67,0.06,0,0,1568284839
SALDATURA OP1,P071,N,0.9,190,185,17,15.4,30,64,1.93,10.45,0,1568822097
SALDATURA OP1,P031,N,0.8,220,223,18,16.5,100,85,1.82,13.3,0,1568828717
SALDATURA OP1,P062,N,0.8,220,216,18,17.2,97,70,0.48,13.3,0,1568317484
SALDATURA OP2,P088,N,0.5,80,93,14.4,15.1,45,40,0.12,0,0,1568816136
SALDATURA OP1,P031,N,0.8,220,221,18,16.6,95,474,2.5,13.3,0,1568829017
SALDATURA OP1,P031,N,0.8,220,226,18,16.4,94,75,1.55,13.3,0,1568829117
SALDATURA OP2,P039,N,0.8,220,213,18,17.5,93,87,1.61,13.3,0,1568297674
SALDATURA OP2,P038,N,0.8,220,218,18,17.3,91,72,0.65,13.3,0,1568831022
SALDATURA OP1,P031,N,0.8,220,220,18,16.4,90,75,1.74,13.3,0,1568829417
SALDATURA OP2,P045,N,0.8,220,226,18,16.7,97,73,1.13,13.3,0,1568836241
SALDATURA OP1,P097,N,0.8,150,0,14.4,2.9,83,64,0.15,7.46,0,1568309560
SALDATURA OP2,P033,N,0.8,220,223,18,17.9,80,157,2.24,13.3,0,1568298558
SALDATURA OP1,P109,N,0.8,220,233,18,15.7,98,75,2.46,13.3,0,1568824063
SALDATURA OP2,P004,N,0.8,220,160,18,19.2,24,397,0.21,13.3,7.3,1568826401
SALDATURA OP2,P086,N,0.4,120,126,16.5,16.9,39,50,0.18,5.28,0,1568817479
SALDATURA OP1,P063,N,0.8,220,215,18,17.6,84,76,1.89,13.3,0,1568844190
SALDATURA OP1,P031,N,0.8,220,222,18,16.4,89,1429,1.33,13.3,0,1568830217
SALDATURA OP1,P090,N,0.8,220,217,18,17.2,97,719,1.35,13.3,0,1568291528
SALDATURA OP1,P031,N,0.8,220,223,18,16.4,91,113,0.4,13.3,0,1568830417
SALDATURA OP1,P031,N,0.8,220,222,18,16.3,93,78,1.26,13.3,0,1568830517
SALDATURA OP1,P063,N,0.8,220,218,18,17.7,84,227,2.32,13.3,0,1568845763
SALDATURA OP1,P063,N,0.8,220,219,18,18.1,90,126,1.1,13.3,0,1568846563
SALDATURA OP1,P031,N,0.8,220,229,18,16.3,109,78,1.12,13.3,0,1568832761
SALDATURA OP1,P031,N,0.8,220,220,18,16.5,94,91,1.77,13.3,0,1568830917
SALDATURA OP2,P097,N,0.8,220,237,18,16.2,106,851,2.09,13.3,0,1568841060
SALDATURA OP1,P031,N,0.8,220,223,18,16.3,97,1470,1.81,13.3,0,1568831117
SALDATURA OP1,P107,N,0.8,220,229,18,17.4,98,89,1.47,13.3,0,1568829559
SALDATURA OP1,P075,N,0.9,150,0,14.4,0,26,79,0.07,0,0,1568825641
SALDATURA OP2,P084,N,0.72,240,227,20,19.4,108,115,1.09,14,0,1568294826
SALDATURA OP2,P089,N,0.5,120,113,16.5,13.8,14,44,0.29,5.28,0,1568822264
SALDATURA OP1,P034,N,0.8,220,222,18,18,99,562,1.09,13.3,0,1568297378
SALDATURA OP1,P073,N,0.5,150,0,14.4,0,14,70,0.1,0,0,1568285519
SALDATURA OP1,P031,N,0.8,220,222,18,16.7,98,78,1.34,13.3,0,1568831817
SALDATURA OP1,P088,N,0.8,220,102,18,9,6,58,0.42,13.3,0,1568812405
SALDATURA OP2,P089,N,0.5,120,110,16.5,14.8,12,57,0.22,5.28,0,1568813309
SALDATURA OP1,P107,N,0.8,220,228,18,17.7,98,162,1.17,13.3,0,1568830711
SALDATURA OP1,P072,N,0.5,150,0,14.4,0,59,77,0.06,0,0,1568295025
SALDATURA OP1,P094,N,0.8,220,222,18,17.9,109,94,0.17,13.3,0,1568303417
SALDATURA OP1,P032,N,0.8,220,222,18,16.2,97,77,0.63,13.3,0,1568832417
SALDATURA OP2,P091,N,0.5,80,64,14.4,12.9,49,41,0.07,0,0,1568304621
SALDATURA OP1,P056,N,0.72,230,240,19.6,19.5,60,103,1.19,14,0,1568819107
SALDATURA OP2,P038,N,0.8,220,225,18,16.8,90,551,1.56,13.3,0,1568839933
SALDATURA OP1,P039,N,0.8,220,227,18,17.1,107,90,0.87,13.3,0,1568315074
SALDATURA OP2,P038,N,0.8,220,217,18,17,95,1390,0.6,13.3,0,1568310373
SALDATURA OP2,P045,N,0.8,220,223,18,16.8,106,245,2.34,13.3,0,1568315920
SALDATURA OP2,P038,N,0.8,220,220,18,16.6,93,79,0.2,13.3,0,1568834962
SALDATURA OP1,P032,N,0.8,220,225,18,16.4,92,75,0.81,13.3,0,1568833217
SALDATURA OP1,P080,N,0.8,220,217,18,17.9,99,92,2.23,13.3,0,1568837166
SALDATURA OP1,P071,N,0.9,190,198,17,17.8,45,84,0.86,10.45,0,1568831488
SALDATURA OP2,P043,N,0.8,220,218,18,17.3,100,415,0.37,13.3,0,1568844864
SALDATURA OP2,P073,N,0.9,150,0,14.4,0,28,80,0.02,0,0,1568825968
SALDATURA OP1,P081,N,0.8,220,221,18,18.1,99,185,1.43,13.3,0,1568841756
SALDATURA OP1,P087,N,0.7,180,172,17.5,16.9,90,74,0.18,9.72,0,1568302748
SALDATURA OP1,P096,N,0.8,220,226,18,17.8,101,78,2.13,13.3,0,1568829603
SALDATURA OP1,P005,N,0.8,220,212,18,18.1,90,88,1.49,13.3,0,1568831858
SALDATURA OP1,P032,N,0.8,220,224,18,16.9,91,83,1.13,13.3,0,1568834117
SALDATURA OP1,P065,N,0.4,120,129,16.5,15.9,24,51,0.31,5.28,0,1568822154
SALDATURA OP1,P094,N,0.8,220,219,18,17.7,93,73,1.96,13.3,0,1568833979
SALDATURA OP1,P032,N,0.8,220,219,18,16.9,93,164,0.72,13.3,0,1568834417
SALDATURA OP1,P032,N,0.8,220,214,18,16.9,93,80,1.33,13.3,0,1568834517
SALDATURA OP2,P107,N,0.8,220,220,18,17.6,96,78,1.23,13.3,0,1568826798
SALDATURA OP1,P081,N,0.8,220,212,18,19,92,90,1.84,13.3,0,1568852047
SALDATURA OP1,P032,N,0.8,220,220,18,16.9,96,81,1.47,13.3,0,1568834817
SALDATURA OP1,P032,N,0.8,220,217,18,16.4,98,73,0.09,13.3,0,1568834917
SALDATURA OP1,P100,N,0.5,120,124,16.5,15.7,57,55,0.2,5.28,0,1568825430
SALDATURA OP2,P036,N,0.8,220,219,18,17,96,76,3.16,13.3,0,1568826809
SALDATURA OP1,P011,N,0.8,220,225,18,17.4,98,81,0.12,13.3,0,1568829085
SALDATURA OP2,P018,N,0.8,220,207,18,18.5,98,68,0.8,13.3,0,1568840901
SALDATURA OP1,P032,N,0.8,220,223,18,16.5,101,394,1.36,13.3,0,1568835417
SALDATURA OP2,P056,N,0.72,150,0,14.4,0,46,277,0.05,0,0,1568815253
SALDATURA OP2,P038,N,0.8,220,223,18,16.2,104,393,0.53,13.3,0,1568826045
SALDATURA OP2,P004,N,0.8,220,217,18,18.4,70,164,0.35,13.3,0,1568294036
SALDATURA OP1,P033,N,0.8,220,220,18,17.2,99,75,1.17,13.3,0,1568835817
SALDATURA OP2,P018,N,0.8,220,213,18,18.7,91,321,2.16,13.3,0,1568829460
SALDATURA OP1,P034,N,0.8,220,218,18,17.7,107,195,2,13.3,0,1568836017
SALDATURA OP2,P073,N,0.9,150,0,14.4,0,42,78,0.06,0,0,1568301302
SALDATURA OP1,P053,N,0.72,150,0,14.4,0,54,78,0.08,0,0,1568295540
SALDATURA OP1,P056,N,0.72,230,227,19.6,18,124,416,1.82,14,0,1568818216
SALDATURA OP1,P109,N,0.8,220,226,18,15.6,112,617,0.63,13.3,0,1568821016
SALDATURA OP1,P089,N,0.8,220,227,18,17.4,108,225,0.33,13.3,0,1568820402
SALDATURA OP2,P009,N,0.8,220,205,18,18.4,76,70,0.62,13.3,0,1568825340
SALDATURA OP2,P107,N,0.8,220,212,18,18.3,104,84,0.87,13.3,0,1568834610
SALDATURA OP2,P038,N,0.8,220,223,18,17.5,95,81,0.99,13.3,0,1568840236
SALDATURA OP2,P016,N,0.8,220,212,18,18.6,92,140,0.6,13.3,0,1568826134
SALDATURA OP2,P111,N,0.8,220,221,18,18,101,83,1.1,13.3,0,1568303105
SALDATURA OP2,P034,N,0.8,220,228,18,17,107,79,1.64,13.3,0,1568821994
SALDATURA OP2,P009,N,0.8,220,212,18,17.6,80,68,1.11,13.3,0,1568301637
SALDATURA OP1,P037,N,0.8,220,220,18,17.2,98,71,1.32,13.3,0,1568837317
SALDATURA OP2,P074,N,0.8,220,208,18,18.6,92,88,0.13,13.3,0,1568852221
SALDATURA OP1,P063,N,0.8,220,222,18,17.5,93,74,0.56,13.3,0,1568327494
SALDATURA OP1,P037,N,0.8,220,216,18,17.2,99,74,1.28,13.3,0,1568837617
SALDATURA OP1,P032,N,0.8,220,219,18,16.4,97,89,0.42,13.3,0,1568834663
SALDATURA OP1,P037,N,0.8,220,215,18,17.4,95,74,3.14,13.3,0,1568837817
SALDATURA OP1,P005,N,0.8,220,220,18,16.9,95,76,2.16,13.3,0,1568823339
SALDATURA OP2,P045,N,0.8,220,223,18,16.7,108,749,0.13,13.3,0,1568838070
SALDATURA OP1,P031,N,0.8,220,225,18,15.9,107,1039,1.52,13.3,0,1568823462
SALDATURA OP1,P098,N,0.8,220,232,18,16,108,75,1.61,13.3,0,1568305889
SALDATURA OP1,P109,N,0.8,220,228,18,16.3,105,189,1,13.3,0,1568828569
SALDATURA OP2,P033,N,0.8,220,223,18,17.6,94,89,3.14,13.3,0,1568298925
SALDATURA OP2,P072,N,0.9,150,0,14.4,0,53,70,0.04,0,0,1568297473
SALDATURA OP2,P009,N,0.8,220,214,18,18.1,79,65,0.08,13.3,0,1568821548
SALDATURA OP1,P033,N,0.8,220,208,18,18.6,99,625,1.68,13.3,0,1568853316
SALDATURA OP1,P038,N,0.8,220,222,18,17.2,105,77,0.47,13.3,0,1568838817
SALDATURA OP1,P038,N,0.8,220,219,18,17,103,80,0.49,13.3,0,1568838917
SALDATURA OP2,P009,N,0.8,220,213,18,16.9,75,77,1.23,13.3,0,1568827062
SALDATURA OP1,P005,N,0.8,220,213,18,18.6,96,72,0.76,13.3,0,1568826826
SALDATURA OP1,P068,N,0.5,150,0,14.4,0,39,55,0.02,0,0,1568815156
SALDATURA OP1,P056,N,0.72,230,232,19.6,18,119,204,1.45,14,0,1568297444
SALDATURA OP1,P043,N,0.8,150,0,14.4,0,44,83,0.03,0,0,1568329568
SALDATURA OP1,P031,N,0.8,220,218,18,16.2,95,82,1.08,13.3,0,1568834177
SALDATURA OP1,P039,N,0.8,220,216,18,17.1,105,99,1.48,13.3,0,1568839617
SALDATURA OP1,P039,N,0.8,220,223,18,17,105,81,2.64,13.3,0,1568839717
SALDATURA OP2,P060,N,0.72,230,81,19.6,11.5,2,10,0.23,14,0,1568293652
SALDATURA OP2,P034,N,0.8,220,227,18,17.1,100,84,2.18,13.3,0,1568816497
SALDATURA OP2,P045,N,0.8,220,220,18,17.7,100,94,1.39,13.3,0,1568843022
SALDATURA OP1,P039,N,0.8,220,222,18,17.1,111,626,0.67,13.3,0,1568840117
SALDATURA OP2,P107,N,0.8,220,217,18,17.8,87,154,0.71,13.3,0,1568308014
SALDATURA OP1,P065,N,0.4,120,135,16.5,15.7,51,62,0.15,5.28,0,1568303131
SALDATURA OP2,P104,N,0.8,220,221,18,16.7,107,85,2.61,13.3,0,1568820283
SALDATURA OP2,P034,N,0.8,220,218,18,17.7,87,96,0.65,13.3,0,1568304526
SALDATURA OP2,P044,N,0.8,220,217,18,17.6,93,84,0.77,13.3,0,1568858750
SALDATURA OP2,P038,N,0.8,220,223,18,17.8,94,787,1.09,13.3,0,1568311558
SALDATURA OP2,P009,N,0.8,220,213,18,18.1,79,75,2.19,13.3,0,1568833503
SALDATURA OP1,P005,N,0.8,220,221,18,17.4,107,91,0.7,13.3,0,1568304350
SALDATURA OP1,P081,N,0.8,220,230,18,16.8,103,386,0.53,13.3,0,1568841017
SALDATURA OP1,P056,N,0.72,230,220,19.6,18.5,46,107,0.25,14,0,1568818395
SALDATURA OP2,P043,N,0.8,220,220,18,17.1,95,774,2.47,13.3,0,1568317151
SALDATURA OP1,P008,N,0.8,220,219,18,16.7,92,74,0.46,13.3,0,1568825819
SALDATURA OP1,P005,N,0.8,220,220,18,17.2,113,90,2.37,13.3,0,1568297073
SALDATURA OP1,P081,N,0.8,220,217,18,18.4,97,77,0.83,13.3,0,1568841517
SALDATURA OP1,P092,N,0.8,220,224,18,16.5,104,192,1.41,13.3,0,1568299217
SALDATURA OP2,P038,N,0.8,220,218,18,17.3,86,73,1.48,13.3,0,1568310426
SALDATURA OP2,P075,N,0.8,220,210,18,18.7,97,436,0.27,13.3,0,1568848109
SALDATURA OP1,P081,N,0.8,220,223,18,18,95,111,1.84,13.3,0,1568841917
SALDATURA OP1,P062,N,0.8,220,215,18,17.7,102,81,0.72,13.3,0,1568839983
SALDATURA OP2,P074,N,0.8,220,9,18,12.6,0,3,0.76,13.3,0,1568325973
SALDATURA OP2,P009,N,0.8,220,213,18,18.1,79,81,1.59,13.3,0,1568830573
SALDATURA OP1,P033,N,0.8,220,217,18,18.1,95,81,1.42,13.3,0,1568841353
SALDATURA OP1,P066,N,0.72,150,0,14.4,0,46,90,0.02,0,0,1568819931
SALDATURA OP1,P081,N,0.8,220,220,18,17.9,102,92,0.91,13.3,0,1568842517
SALDATURA OP1,P003,N,0.8,220,211,18,16.5,108,78,1.06,13.3,0,1568297496
SALDATURA OP2,P013,N,0.8,220,219,18,17.7,82,89,1.11,13.3,0,1568308652
SALDATURA OP2,P077,N,0.9,190,0,18,3,0,42,0.59,2,0,1568826621
SALDATURA OP2,P043,N,0.8,220,219,18,17.3,102,77,0.09,13.3,0,1568844133
SALDATURA OP2,P056,N,0.72,150,0,14.4,0,31,94,0.07,0,0,1568819272
SALDATURA OP1,P080,N,0.8,220,221,18,18.1,101,83,0.91,13.3,0,1568843117
SALDATURA OP1,P050,N,0.72,240,155,20.6,17.3,23,68,0.21,14,0,1568298143
SALDATURA OP1,P080,N,0.8,220,219,18,18.5,103,188,1.13,13.3,0,1568843317
SALDATURA OP2,P104,N,0.8,220,218,18,17.1,107,80,3.24,13.3,0,1568819644
SALDATURA OP2,P013,N,0.8,220,215,18,17.4,89,82,1.42,13.3,0,1568833860
SALDATURA OP1,P080,N,0.8,220,212,18,18.4,100,83,2.56,13.3,0,1568843617
SALDATURA OP1,P080,N,0.8,220,221,18,17.5,113,94,2.28,13.3,0,1568834319
SALDATURA OP1,P080,N,0.8,220,220,18,17.3,101,454,2.56,13.3,0,1568843817
